           ,,,,,,,,,,,,,,,,,,,,,,,,,,
          Date Of Operation:,01/01/2010 to 04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Date Mode:,ERP Transaction Date,,,,,,,,,,,,,,,,,,,,,,,,,
Branch:,1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,
Department:,All,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Date,Academic Year,Session,Alloted Category,Voucher Type,Voucher No.,Roll No.,Admno/UniqueId,Status,Fee Category,Faculty,Program,Department,Batch,Receipt No.,Fee Head,Due Amount,Paid Amount,Concession Amount,Scholarship Amount,Reverse Concession Amount,Write Off Amount,Adjusted Amount,Refund Amount,Fund TranCfer Amount,Remarks
1,19-11-2020,2020-2021,2020-2021,AIE,RCPT,1024707,14872T020CUGCOB101N368,20GCOB1010375,Provisional,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2020-2021 I Sem I,2020-2021/AIE/C13/9944,TUITION FEE,0,20000,0,0,0,0,0,0,0,19/11/2020 UG2017045 pay_G2x7D0gP6ZCDvi order_G2x42yfDzA7ceL 9_293_2149_9088 Cetl_G3jtqi3J8nOC1V Razorpay 20000
2,28-08-2020,2020-2021,2020-2021,,RCPT,1014509,3171T020CUGCFC101N003,20GCFC1030009,Withdrawn,General,School of Finance & Commerce,B.Com. (Hons.) International Accounting and Finance ,School of Finance,B.Com. (Hons.) International Accounting and Finance 2020-21 I Sem I,2020-2021/AIE/C13/2169,TUITION FEE,0,87000,0,0,0,0,0,0,0,UG2007528 < order_FW14P2q2nGCVhx 24_293_2149_3134 []Cetl_FXI0KMX7aZqZg5 Razorpay 
3,28-08-2020,2020-2021,2020-2021,,RCPT,1014509,3171T020CUGCFC101N003,20GCFC1030009,Withdrawn,General,School of Finance & Commerce,B.Com. (Hons.) International Accounting and Finance ,School of Finance,B.Com. (Hons.) International Accounting and Finance 2020-21 I Sem I,2020-2021/AIE/C13/2169,Exam Fee,0,10000,0,0,0,0,0,0,0,UG2007528 < order_FW14P2q2nGCVhx 24_293_2149_3134 []Cetl_FXI0KMX7aZqZg5 Razorpay 
4,7/6/2011,2011-2012,2011-2012,AIE,RCPT,893553,11CETBT102001,11CETBT102001,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,2887,TUITION FEE,0,128000,0,0,0,0,0,0,0,
5,7/6/2011,2011-2012,2011-2012,AIE,RCPT,893553,11CETBT102001,11CETBT102001,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,2887,Security Fee,0,10000,0,0,0,0,0,0,0,
